hoopR_ID,athlete,nba_api_ID,pst_ID
136,Vince Carter,1713,184
165,Jamal Crawford,2037,458
272,Manu Ginobili,1938,165
609,Dirk Nowitzki,1717,33
841,Jason Terry,1891,252
984,Tyson Chandler,2199,148
996,Pau Gasol,2200,59
1006,Richard Jefferson,2210,329
1007,Joe Johnson,2207,324
1015,Tony Parker,2225,35
1017,Zach Randolph,2216,185
1966,LeBron James,2544,154
1975,Carmelo Anthony,2546,69
1978,Nick Collison,2555,-1
1987,Dwyane Wade,2548,64
2011,Kyle Korver,2594,277
2016,Zaza Pachulia,2585,34
2018,Kendrick Perkins,2570,502
2177,David West,2561,206
2184,Udonis Haslem,2617,156
2367,Tony Allen,2754,80
2382,Devin Harris,2734,19
2384,Dwight Howard,2730,44
2386,Andre Iguodala,2738,105
2389,Al Jefferson,2744,133
2393,Shaun Livingston,2733,296
2399,Emeka Okafor,2731,482
2411,Josh Smith,2746,-1
2419,Anderson Varejao,2760,224
2426,Trevor Ariza,2772,361
2429,Luol Deng,2736,81
2439,Jameer Nelson,2749,53
2444,JR Smith,2747,221
2506,Damien Wilkins,2863,-1
2747,Andrew Bogut,101106,145
2753,Raymond Felton,101109,74
2754,Channing Frye,101112,459
2758,Marcin Gortat,101162,63
2761,Gerald Green,101123,301
2767,Ersan Ilyasova,101141,107
2768,Jarrett Jack,101127,343
2769,Amir Johnson,101161,319
2774,Ian Mahinmi,101133,7
2778,CJ Miles,101139,143
2779,Chris Paul,101108,231
2797,Marvin Williams,101107,197
2799,Lou Williams,101150,99
2806,Jose Calderon,101181,114
2983,LaMarcus Aldridge,200746,36
3005,Rudy Gay,200752,83
3012,Kyle Lowry,200768,159
3015,Paul Millsap,200794,288
3024,JJ Redick,200755,207
3026,Rajon Rondo,200765,30
3028,Thabo Sefolosha,200757,50
3033,P.J. Tucker,200782,354
3055,J.J. Barea,200826,217
3187,Arron Afflalo,201167,157
3190,Marco Belinelli,201158,106
3192,Aaron Brooks,201166,238
3194,Wilson Chandler,201163,259
3195,Mike Conley,201144,67
3201,Jared Dudley,201162,283
3202,Kevin Durant,201142,26
3206,Marc Gasol,201188,229
3209,Jeff Green,201145,195
3213,Al Horford,201143,267
3220,Josh McRoberts,201177,96
3224,Joakim Noah,201149,45
3231,Ramon Sessions,201196,503
3232,Jason Smith,201160,135
3242,Brandan Wright,201148,132
3243,Nick Young,201156,202
3244,Thaddeus Young,201152,338
3276,Anthony Tolliver,201229,170
3412,Ryan Anderson,201583,327
3413,Darrell Arthur,201589,136
3414,Omer Asik,201600,164
3415,D.J. Augustin,201571,331
3416,Nicolas Batum,201587,41
3417,Jerryd Bayless,201573,58
3418,Michael Beasley,201563,304
3419,Mario Chalmers,201596,424
3423,Goran Dragic,201609,95
3428,Danilo Gallinari,201568,5
3431,Eric Gordon,201569,152
3438,George Hill,201588,24
3439,Serge Ibaka,201586,189
3442,DeAndre Jordan,201599,66
3444,Kosta Koufos,201585,167
3445,Courtney Lee,201584,47
3447,Robin Lopez,201577,483
3448,Brook Lopez,201572,192
3449,Kevin Love,201567,125
3451,Luc Mbah a Moute,201601,174
3452,JaVale McGee,201580,160
3456,Derrick Rose,201565,17
3460,Marreese Speights,201578,-1
3468,Russell Westbrook,201566,472
3472,Bobby Brown,201628,281
3554,Omri Casspi,201956,51
3964,Patrick Beverley,201976,71
3970,DeMarre Carroll,201960,209
3973,Darren Collison,201954,208
3974,Dante Cunningham,201967,85
3975,Stephen Curry,201939,9
3978,DeMar DeRozan,201942,181
3981,Wayne Ellington,201961,178
3983,Tyreke Evans,201936,25
3986,Taj Gibson,201959,163
3988,Danny Green,201980,257
3989,Blake Griffin,201933,200
3992,James Harden,201935,355
3995,Jrue Holiday,201950,201
3997,Brandon Jennings,201943,177
3998,Jonas Jerebko,201973,191
3999,James Johnson,201949,141
4003,Jodie Meeks,201975,219
4004,Patty Mills,201988,325
4011,Ricky Rubio,201937,260
4015,Jeff Teague,201952,425
4023,Garrett Temple,202066,342
4032,Wesley Matthews,202083,61
4192,Milos Teodosic,1628462,435
4237,John Wall,202322,255
4238,Eric Bledsoe,202339,336
4239,Evan Turner,202323,211
4240,Avery Bradley,202340,40
4243,Jordan Crawford,202348,-1
4244,Lance Stephenson,202362,142
4247,Wesley Johnson,202325,215
4248,Al-Farouq Aminu,202329,287
4249,Gordon Hayward,202330,187
4250,Luke Babbitt,202337,168
4251,Paul George,202331,263
4253,Quincy Pondexter,202347,1034
4257,Derrick Favors,202324,82
4258,DeMarcus Cousins,202326,113
4259,Ed Davis,202334,326
4261,Ekpe Udoh,202327,558
4262,Hassan Whiteside,202355,22
4264,Patrick Patterson,202335,198
4267,Cole Aldrich,202332,409
4269,Nemanja Bjelica,202357,172
4270,Trevor Booker,202344,68
4295,Jeremy Evans,202379,91
4298,Timofey Mozgov,202389,169
4299,Jeremy Lin,202391,2
4305,Ish Smith,202397,122
4341,Nicolo Melli,1629740,708
4385,Mirza Teletovic,203141,75
6426,Davis Bertans,202722,248
6427,Bismack Biyombo,202687,529
6428,MarShon Brooks,202705,497
6429,Alec Burks,202692,212
6430,Jimmy Butler,202710,117
6433,Kenneth Faried,202702,84
6434,Jimmer Fredette,202690,-1
6440,Tobias Harris,202699,140
6442,Kyrie Irving,202681,1
6443,Reggie Jackson,202704,139
6446,Cory Joseph,202709,303
6447,Enes Freedom,202683,339
6448,Brandon Knight,202688,62
6450,Kawhi Leonard,202695,147
6452,Jon Leuer,202720,8
6453,DeAndre Liggins,202732,262
6454,Shelvin Mack,202714,348
6459,Nikola Mirotic,202703,162
6460,E'Twaun Moore,202734,94
6461,Markieff Morris,202693,92
6462,Marcus Morris Sr.,202694,48
6464,Donatas Motiejunas,202700,104
6466,Chandler Parsons,202718,60
6468,Iman Shumpert,202697,150
6469,Kyle Singler,202713,199
6472,Isaiah Thomas,202738,220
6474,Tristan Thompson,202684,362
6475,Klay Thompson,202691,318
6479,Kemba Walker,202689,118
6480,Derrick Williams,202682,286
6485,Lance Thomas,202498,89
6497,Jeremy Pargo,202951,-1
6499,Xavier Silas,202918,-1
6503,Dwight Buycks,202779,385
6507,Brad Wanamaker,202954,556
6543,Julyan Stone,202933,422
6576,Quincy Acy,203112,341
6578,Harrison Barnes,203084,10
6579,Will Barton,203115,271
6580,Bradley Beal,203078,55
6581,Jae Crowder,203109,204
6583,Anthony Davis,203076,54
6585,Andre Drummond,203083,266
6588,Evan Fournier,203095,161
6589,Draymond Green,203110,279
6591,Maurice Harkless,203090,295
6592,John Henson,203089,176
6597,Terrence Jones,203093,146
6601,Michael Kidd-Gilchrist,203077,97
6603,Jeremy Lamb,203087,73
6605,Meyers Leonard,203086,404
6606,Damian Lillard,203081,13
6609,Khris Middleton,203114,214
6610,Darius Miller,203121,517
6615,Kyle O'Quinn,203124,297
6616,Miles Plumlee,203101,38
6617,Austin Rivers,203085,158
6619,Terrence Ross,203082,203
6621,Tomas Satoransky,203107,322
6622,Mike Scott,203118,173
6626,Marquis Teague,203104,-1
6628,Dion Waiters,203079,308
6631,Tyler Zeller,203092,328
6637,Kent Bazemore,203145,186
6644,Scott Machado,203159,-1
2141179,Andre Ingram,201281,-1
2198243,Aaron Jackson,1628935,-1
2234666,Jonathan Gibson,1626780,-1
2282117,John Holland,204066,222
2282205,Malcolm Delaney,1627098,356
2282734,Kalin Lucas,203564,-1
2284101,Justin Holiday,203200,28
2325495,Larry Drew II,203580,1035
2325499,C.J. Williams,203710,400
2326015,Willie Reed,203186,188
2326307,Seth Curry,203552,294
2326411,James Nunnally,203263,-1
2327577,JaMychal Green,203210,311
2328418,Scotty Hopson,203816,811
2333797,Jeff Withey,203481,364
2451037,Daniel Theis,1628464,480
2488653,Mason Plumlee,203486,476
2488674,Travis Wear,204037,494
2488689,Sean Kilpatrick,203930,349
2488713,Jack Cooley,204022,411
2488826,Rodney McGruder,203585,306
2488911,Brandon Paul,203464,447
2488938,Reggie Hearn,203687,467
