arena_key,arena_name,arena_coor,arena_lat,arena_long,nearest_airport,airport_coor,airport_lat,airport_long
1,Golden 1 Center,38°34′49.3″N 121°29′58.6″W,38°34′49.3″N,121°29′58.6″W,Sacramento International Airport,38°41′44″N 121°35′27″W,38°41′44″N,121°35′27″W
2,State Farm Arena,33°45′26″N 84°23′47″W,33°45′26″N,84°23′47″W,Hartsfield-Jackson International Airport,33°38′12″N 84°25′41″W,33°38′12″N,84°25′41″W
3,Target Center,44°58′46″N 93°16′34″W,44°58′46″N,93°16′34″W,Minnesota-Saint Paul International Airport,44°52′55″N 093°13′18″W,44°52′55″N,093°13′18″W
4,Footprint Center,33°26′45″N 112°4′17″W,33°26′45″N,112°4′17″W,Phoenix Sky Harbor International Airport,33°26′03″N 112°00′42″W,33°26′03″N,112°00′42″W
5,Barclays Center,40°40′57.58″N 73°58′30.81″W,40°40′57.58″N,73°58′30.81″W,John F Kennedy International Airport,40°38′23″N 73°46′44″W,40°38′23″N,73°46′44″W
6,Frost Bank Center,29°25′37″N 98°26′15″W,29°25′37″N,98°26′15″W,San Antonio International Airport,29°31′36″N 098°28′19″W,29°31′36″N,098°28′19″W
7,American Airlines Center,32°47′26″N 96°48′37″W,32°47′26″N,96°48′37″W,Dallas Love Field,32°50′50″N 096°51′06″W,32°50′50″N,096°51′06″W
8,Bradley Center,43°2′37″N 87°55′1″W,43°2′37″N,87°55′1″W,Milwaukee Mitchell International Airport,42°56′34.4″N 87°54′52″W,42°56′34.4″N,87°54′52″W
9,Fiserv Forum,43°2′42.1″N 87°55′5.4″W,43°2′42.1″N,87°55′5.4″W,Milwaukee Mitchell International Airport,42°56′34.4″N 87°54′52″W,42°56′34.4″N,87°54′52″W
10,Crypto.com Center,34°02′35″N 118°16′02″W,34°02′35″N,118°16′02″W,Los Angeles International Airport,33°56′33″N 118°24′29″W,33°56′33″N,118°24′29″W
11,Toyota Center,29°45′3″N 95°21′44″W,29°45′3″N,95°21′44″W,George Bush Intercontinental Airport,29°59′04″N 095°20′29″W,29°59′04″N,095°20′29″W
