Date,Team,Acquired,Relinquished,Notes,player_id
2016-01-01,Hornets,,Al Jefferson,placed on IL recovering from surgery on right knee to repair torn lateral meniscus,133
2016-01-01,Mavericks,,Devin Harris,back spasms (DTD),19
2016-01-01,Mavericks,,Justin Anderson,placed on IL,4
2016-01-01,Raptors,Bruno Caboclo,,activated from IL,0
2016-01-02,Cavaliers,Kyrie Irving,,activated from IL,1
2016-01-02,Celtics,,Avery Bradley,bruised left hip (DTD),40
2016-01-02,Celtics,,RJ Hunter,left shoulder subluxation (DTD),21
2016-01-02,Hornets,,Nicolas Batum,sprained toe on right foot (DTD),41
2016-01-02,Hornets,Jeremy Lin,,returned to lineup,2
2016-01-02,Kings,Willie Cauley-Stein,,activated from IL,3
2016-01-02,Mavericks,,Devin Harris,placed on IL with strained back,19
2016-01-02,Mavericks,Justin Anderson,,activated from IL,4
2016-01-02,Nuggets,Danilo Gallinari,,activated from IL,5
2016-01-02,Nuggets,Jusuf Nurkic,,returned to lineup,6
2016-01-02,Pacers,Ian Mahinmi,,activated from IL,7
2016-01-02,Pelicans,,Tyreke Evans,right knee tendinitis (DTD),25
2016-01-02,Rockets,,Donatas Motiejunas,sore back (DTD),104
2016-01-02,Suns,Jon Leuer,,returned to lineup,8
2016-01-02,Warriors,,James Michael McAdoo,sprained toe on left foot (DTD),151
2016-01-02,Warriors,Stephen Curry,,returned to lineup,9
2016-01-02,Warriors,Harrison Barnes,,activated from IL (P),10
2016-01-02,Warriors,,Harrison Barnes,sprained left ankle (DTD) (P),10
2016-01-03,Heat,Justise Winslow,,returned to lineup,11
2016-01-03,Nets,,Jarrett Jack,torn ACL in right knee (out for season),343
2016-01-03,Lakers,Tarik Black,,activated from IL,12
2016-01-04,Blazers,,Luis Montero,placed on IL,20
2016-01-04,Blazers,Damian Lillard,,activated from IL,13
2016-01-04,Cavaliers,,Joe Harris,right foot injury (DTD),49
2016-01-04,Celtics,,Avery Bradley,placed on IL with sore left hip,40
2016-01-04,Grizzlies,,Mike Conley,tightness in lower back (DTD),67
2016-01-04,Heat,,Hassan Whiteside,knee injury (DTD),22
2016-01-04,Heat,,Hassan Whiteside,placed on IL with sore right knee,22
2016-01-04,Kings,,Omri Casspi,sore upper back (DTD),51
2016-01-04,Kings,Willie Cauley-Stein,,activated from IL (P),3
2016-01-04,Lakers,,D'Angelo Russell,placed on IL with illness,31
2016-01-04,Magic,,Elfrid Payton,bruised left ankle (DTD),57
2016-01-04,Nets,,Jarrett Jack,placed on IL with torn ACL in right knee (out for season),343
2016-01-04,Pacers,,George Hill,food poisoning (DTD),24
2016-01-04,Raptors,,DeMarre Carroll,placed on IL with sore right knee,209
2016-01-04,Raptors,Delon Wright,,activated from IL,14
2016-01-04,Raptors,Norman Powell,,activated from IL,15
2016-01-04,Rockets,,Donatas Motiejunas,sore back (DTD),104
2016-01-04,Spurs,,Tony Parker,placed on IL with sore right hip,35
2016-01-04,Thunder,,Kevin Durant,toe injury (DTD),26
2016-01-04,Thunder,,Kevin Durant,placed on IL with sprained right big toe,26
2016-01-04,Warriors,,James Michael McAdoo,sprained toe on left foot (DTD),151
2016-01-04,Warriors,Harrison Barnes,,activated from IL,10
2016-01-04,Warriors,Kevon Looney,,activated from IL,16
2016-01-05,Bucks,,Jerryd Bayless,placed on IL with sprained ankle,58
2016-01-05,Bulls,Derrick Rose,,returned to lineup,17
2016-01-05,Hawks,,Justin Holiday,placed on IL,28
2016-01-05,Hawks,Tim Hardaway Jr.,,activated from IL,18
2016-01-05,Kings,,Rajon Rondo,back spasms (DTD),30
2016-01-05,Kings,,Willie Cauley-Stein,lacerated right middle finger (DTD),3
2016-01-05,Mavericks,,Justin Anderson,placed on IL,4
2016-01-05,Mavericks,Devin Harris,,activated from IL,19
2016-01-05,Warriors,,James Michael McAdoo,sprained toe on left foot (DTD),151
2016-01-06,Blazers,,CJ McCollum,placed on IL,32
2016-01-06,Blazers,Luis Montero,,activated from IL,20
2016-01-06,Celtics,RJ Hunter,,returned to lineup,21
