,hoopR_ID,athlete,nba_api_ID
0,136,Vince Carter,1713
1,165,Jamal Crawford,2037
2,272,Manu Ginobili,1938
3,609,Dirk Nowitzki,1717
4,841,Jason Terry,1891
5,984,Tyson Chandler,2199
6,996,Pau Gasol,2200
7,1006,Richard Jefferson,2210
8,1007,Joe Johnson,2207
9,1015,Tony Parker,2225
10,1017,Zach Randolph,2216
11,1966,LeBron James,2544
12,1975,Carmelo Anthony,2546
13,1978,Nick Collison,2555
14,1987,Dwyane Wade,2548
15,2011,Kyle Korver,2594
16,2016,Zaza Pachulia,2585
17,2018,Kendrick Perkins,2570
18,2177,David West,2561
19,2184,Udonis Haslem,2617
20,2367,Tony Allen,2754
21,2382,Devin Harris,2734
22,2384,Dwight Howard,2730
23,2386,Andre Iguodala,2738
24,2389,Al Jefferson,2744
25,2393,Shaun Livingston,2733
26,2399,Emeka Okafor,2731
27,2411,Josh Smith,2746
28,2419,Anderson Varejao,2760
29,2426,Trevor Ariza,2772
30,2429,Luol Deng,2736
31,2439,Jameer Nelson,2749
32,2444,JR Smith,2747
33,2506,Damien Wilkins,2863
34,2747,Andrew Bogut,101106
35,2753,Raymond Felton,101109
36,2754,Channing Frye,101112
37,2758,Marcin Gortat,101162
38,2761,Gerald Green,101123
39,2767,Ersan Ilyasova,101141
40,2768,Jarrett Jack,101127
41,2769,Amir Johnson,101161
42,2774,Ian Mahinmi,101133
43,2778,CJ Miles,101139
44,2779,Chris Paul,101108
45,2797,Marvin Williams,101107
46,2799,Lou Williams,101150
47,2806,Jose Calderon,101181
48,2983,LaMarcus Aldridge,200746
49,3005,Rudy Gay,200752
50,3012,Kyle Lowry,200768
51,3015,Paul Millsap,200794
52,3024,JJ Redick,200755
53,3026,Rajon Rondo,200765
54,3028,Thabo Sefolosha,200757
55,3033,P.J. Tucker,200782
56,3055,J.J. Barea,200826
57,3187,Arron Afflalo,201167
58,3190,Marco Belinelli,201158
59,3192,Aaron Brooks,201166
60,3194,Wilson Chandler,201163
61,3195,Mike Conley,201144
62,3201,Jared Dudley,201162
63,3202,Kevin Durant,201142
64,3206,Marc Gasol,201188
65,3209,Jeff Green,201145
66,3213,Al Horford,201143
67,3220,Josh McRoberts,201177
68,3224,Joakim Noah,201149
69,3231,Ramon Sessions,201196
70,3232,Jason Smith,201160
71,3242,Brandan Wright,201148
72,3243,Nick Young,201156
73,3244,Thaddeus Young,201152
74,3276,Anthony Tolliver,201229
75,3412,Ryan Anderson,201583
76,3413,Darrell Arthur,201589
77,3414,Omer Asik,201600
78,3415,D.J. Augustin,201571
79,3416,Nicolas Batum,201587
80,3417,Jerryd Bayless,201573
81,3418,Michael Beasley,201563
82,3419,Mario Chalmers,201596
83,3423,Goran Dragic,201609
84,3428,Danilo Gallinari,201568
85,3431,Eric Gordon,201569
86,3438,George Hill,201588
87,3439,Serge Ibaka,201586
88,3442,DeAndre Jordan,201599
89,3444,Kosta Koufos,201585
90,3445,Courtney Lee,201584
91,3447,Robin Lopez,201577
92,3448,Brook Lopez,201572
93,3449,Kevin Love,201567
94,3451,Luc Mbah a Moute,201601
95,3452,JaVale McGee,201580
96,3456,Derrick Rose,201565
97,3460,Marreese Speights,201578
98,3468,Russell Westbrook,201566
99,3472,Bobby Brown,201628
100,3554,Omri Casspi,201956
101,3964,Patrick Beverley,201976
102,3970,DeMarre Carroll,201960
103,3973,Darren Collison,201954
104,3974,Dante Cunningham,201967
105,3975,Stephen Curry,201939
106,3978,DeMar DeRozan,201942
107,3981,Wayne Ellington,201961
108,3983,Tyreke Evans,201936
109,3986,Taj Gibson,201959
110,3988,Danny Green,201980
