player_key,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,rosterstatus,games_played_current_season_flag,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,draft_date
1713,Vince,Carter,Vince Carter,"Carter, Vince",V. Carter,vince-carter,1977-01-26T00:00:00,North Carolina,USA,North Carolina/USA,198.12,220.0,23,15.0,Inactive,N,vince_carter,1998,2019,N,Y,Y,1998,1,5,N,1998-06-24
2037,Jamal,Crawford,Jamal Crawford,"Crawford, Jamal",J. Crawford,jamal-crawford,1980-03-20T00:00:00,Michigan,USA,Michigan/USA,195.57999999999998,200.0,21,1.0,Inactive,N,jamal_crawford,2000,2019,N,Y,Y,2000,1,8,N,2000-06-28
1938,Manu,Ginobili,Manu Ginobili,"Ginobili, Manu",M. Ginobili,manu-ginobili,1977-07-28T00:00:00,Virtus Bologna,Argentina,Virtus Bologna/Argentina,198.12,205.0,16,20.0,Inactive,N,manu_ginobili,2002,2017,N,Y,Y,1999,2,57,N,1999-06-30
1717,Dirk,Nowitzki,Dirk Nowitzki,"Nowitzki, Dirk",D. Nowitzki,dirk-nowitzki,1978-06-19T00:00:00,DJK Wurzburg,Germany,DJK Wurzburg/Germany,213.36,245.0,22,41.0,Inactive,N,dirk_nowitzki,1998,2018,N,Y,Y,1998,1,9,Y,1998-06-24
1891,Jason,Terry,Jason Terry,"Terry, Jason",J. Terry,jason-terry,1977-09-15T00:00:00,Arizona,USA,Arizona/USA,187.96,185.0,19,3.0,Inactive,N,jason_terry,1999,2017,N,Y,Y,1999,1,10,N,1999-06-30
2199,Tyson,Chandler,Tyson Chandler,"Chandler, Tyson",T. Chandler,tyson-chandler,1982-10-02T00:00:00,Dominguez HS (CA),USA,Dominguez HS (CA)/USA,213.36,235.0,20,6.0,Inactive,N,tyson_chandler,2001,2019,N,Y,Y,2001,1,2,N,2001-06-27
2200,Pau,Gasol,Pau Gasol,"Gasol, Pau",P. Gasol,pau-gasol,1980-07-06T00:00:00,FC Barcelona,Spain,FC Barcelona/Germany,213.36,250.0,19,16.0,Inactive,N,pau_gasol,2001,2018,N,Y,Y,2001,1,3,N,2001-06-27
2210,Richard,Jefferson,Richard Jefferson,"Jefferson, Richard",R. Jefferson,richard-jefferson,1980-06-21T00:00:00,Arizona,USA,Arizona/USA,200.66,233.0,18,22.0,Inactive,N,richard_jefferson,2001,2017,N,Y,Y,2001,1,13,N,2001-06-27
2207,Joe,Johnson,Joe Johnson,"Johnson, Joe",J. Johnson,joe-johnson,1981-06-29T00:00:00,Arkansas,USA,Arkansas/USA,200.66,240.0,18,,Inactive,N,joe_johnson,2001,2021,N,Y,Y,2001,1,10,N,2001-06-27
2225,Tony,Parker,Tony Parker,"Parker, Tony",T. Parker,tony-parker,1982-05-17T00:00:00,Paris Basket Racing,France,Paris Basket Racing/France,187.96,185.0,19,9.0,Inactive,N,tony_parker,2001,2018,N,Y,Y,2001,1,28,N,2001-06-27
2216,Zach,Randolph,Zach Randolph,"Randolph, Zach",Z. Randolph,zach-randolph,1981-07-16T00:00:00,Michigan State,USA,Michigan State/USA,205.74,250.0,18,50.0,Inactive,N,zach_randolph,2001,2017,N,Y,Y,2001,1,19,N,2001-06-27
2544,LeBron,James,LeBron James,"James, LeBron",L. James,lebron-james,1984-12-30T00:00:00,St. Vincent-St. Mary HS (OH),USA,St. Vincent-St. Mary HS (OH)/USA,205.74,250.0,22,23.0,Active,N,lebron_james,2003,2025,N,Y,Y,2003,1,1,Y,2003-06-26
2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,200.66,238.0,20,7.0,Inactive,N,carmelo_anthony,2003,2021,N,Y,Y,2003,1,3,Y,2003-06-26
2555,Nick,Collison,Nick Collison,"Collison, Nick",N. Collison,nick-collison,1980-10-26T00:00:00,Kansas,USA,Kansas/USA,208.28,255.0,15,4.0,Inactive,N,nick_collison,2003,2017,N,Y,Y,2003,1,12,N,2003-06-26
2548,Dwyane,Wade,Dwyane Wade,"Wade, Dwyane",D. Wade,dwyane-wade,1982-01-17T00:00:00,Marquette,USA,Marquette/USA,193.04,220.0,17,3.0,Inactive,N,dwyane_wade,2003,2018,N,Y,Y,2003,1,5,Y,2003-06-26
2594,Kyle,Korver,Kyle Korver,"Korver, Kyle",K. Korver,kyle-korver,1981-03-17T00:00:00,Creighton,USA,Creighton/USA,200.66,212.0,18,26.0,Inactive,N,kyle_korver,2003,2019,N,Y,Y,2003,2,51,N,2003-06-26
2585,Zaza,Pachulia,Zaza Pachulia,"Pachulia, Zaza",Z. Pachulia,zaza-pachulia,1984-02-10T00:00:00,Ulkerspor,Georgia,Ulkerspor/Georgia,210.82,270.0,17,27.0,Inactive,N,zaza_pachulia,2003,2018,N,Y,Y,2003,2,42,N,2003-06-26
