"athlete_id","athlete_display_name"
136,"Vince Carter"
165,"Jamal Crawford"
272,"Manu Ginobili"
609,"Dirk Nowitzki"
841,"Jason Terry"
984,"Tyson Chandler"
996,"Pau Gasol"
1006,"Richard Jefferson"
1007,"Joe Johnson"
1015,"Tony Parker"
1017,"Zach Randolph"
1713,"Nene "
1966,"LeBron James"
1975,"Carmelo Anthony"
1978,"Nick Collison"
1987,"Dwyane Wade"
2011,"Kyle Korver"
2016,"Zaza Pachulia"
2018,"Kendrick Perkins"
2177,"David West"
2184,"Udonis Haslem"
2367,"Tony Allen"
2382,"Devin Harris"
2384,"Dwight Howard"
2386,"Andre Iguodala"
2389,"Al Jefferson"
2393,"Shaun Livingston"
2399,"Emeka Okafor"
2411,"Josh Smith"
2419,"Anderson Varejao"
2426,"Trevor Ariza"
2429,"Luol Deng"
2439,"Jameer Nelson"
2444,"JR Smith"
2506,"Damien Wilkins"
2747,"Andrew Bogut"
2753,"Raymond Felton"
2754,"Channing Frye"
2758,"Marcin Gortat"
2761,"Gerald Green"
2767,"Ersan Ilyasova"
2768,"Jarrett Jack"
2769,"Amir Johnson"
2774,"Ian Mahinmi"
2778,"CJ Miles"
2779,"Chris Paul"
2797,"Marvin Williams"
2799,"Lou Williams"
2806,"Jose Calderon"
2983,"LaMarcus Aldridge"
3005,"Rudy Gay"
3012,"Kyle Lowry"
3015,"Paul Millsap"
3024,"JJ Redick"
3026,"Rajon Rondo"
3028,"Thabo Sefolosha"
3033,"P.J. Tucker"
3055,"J.J. Barea"
3187,"Arron Afflalo"
3190,"Marco Belinelli"
3191,"Corey Brewer"
3192,"Aaron Brooks"
3194,"Wilson Chandler"
3195,"Mike Conley"
3201,"Jared Dudley"
3202,"Kevin Durant"
3206,"Marc Gasol"
3209,"Jeff Green"
3213,"Al Horford"
3220,"Josh McRoberts"
3224,"Joakim Noah"
3231,"Ramon Sessions"
3232,"Jason Smith"
3242,"Brandan Wright"
3243,"Nick Young"
3244,"Thaddeus Young"
3276,"Anthony Tolliver"
3412,"Ryan Anderson"
3413,"Darrell Arthur"
3414,"Omer Asik"
3415,"D.J. Augustin"
3416,"Nicolas Batum"
3417,"Jerryd Bayless"
3418,"Michael Beasley"
3419,"Mario Chalmers"
3423,"Goran Dragic"
3428,"Danilo Gallinari"
3431,"Eric Gordon"
3438,"George Hill"
3439,"Serge Ibaka"
3442,"DeAndre Jordan"
3444,"Kosta Koufos"
3445,"Courtney Lee"
3447,"Robin Lopez"
3448,"Brook Lopez"
3449,"Kevin Love"
3451,"Luc Mbah a Moute"
3452,"JaVale McGee"
3456,"Derrick Rose"
3457,"Brandon Rush"
3460,"Marreese Speights"
3468,"Russell Westbrook"
3472,"Bobby Brown"
3554,"Omri Casspi"
3593,"Bojan Bogdanovic"
3964,"Patrick Beverley"
3970,"DeMarre Carroll"
3973,"Darren Collison"
3974,"Dante Cunningham"
3975,"Stephen Curry"
3978,"DeMar DeRozan"
3981,"Wayne Ellington"
3983,"Tyreke Evans"
3986,"Taj Gibson"
3988,"Danny Green"
3989,"Blake Griffin"
3992,"James Harden"
3995,"Jrue Holiday"
3997,"Brandon Jennings"
3998,"Jonas Jerebko"
3999,"James Johnson"
4000,"Ty Lawson"
4003,"Jodie Meeks"
4004,"Patty Mills"
4011,"Ricky Rubio"
4015,"Jeff Teague"
4023,"Garrett Temple"
4032,"Wesley Matthews"
4192,"Milos Teodosic"
4237,"John Wall"
4238,"Eric Bledsoe"
4239,"Evan Turner"
4240,"Avery Bradley"
4243,"Jordan Crawford"
4244,"Lance Stephenson"
4247,"Wesley Johnson"
4248,"Al-Farouq Aminu"
4249,"Gordon Hayward"
4250,"Luke Babbitt"
4251,"Paul George"
4253,"Quincy Pondexter"
4257,"Derrick Favors"
4258,"DeMarcus Cousins"
4259,"Ed Davis"
4260,"Greg Monroe"
4261,"Ekpe Udoh"
4262,"Hassan Whiteside"
4264,"Patrick Patterson"
4267,"Cole Aldrich"
4269,"Nemanja Bjelica"
4270,"Trevor Booker"
4295,"Jeremy Evans"
4298,"Timofey Mozgov"
4299,"Jeremy Lin"
4305,"Ish Smith"
4341,"Nicolo Melli"
4376,"Boban Marjanovic"
4385,"Mirza Teletovic"
6426,"Davis Bertans"
6427,"Bismack Biyombo"
6428,"MarShon Brooks"
6429,"Alec Burks"
6430,"Jimmy Butler"
6430,"Jimmy Butler III"
6433,"Kenneth Faried"
