Date,Team,Acquired,Relinquished,Notes
2016-01-01,76ers,,• Hollis Thompson,corneal abrasion in right eye (DTD)
2016-01-01,Celtics,• R.J. Hunter,,called up from NBADL
2016-01-01,Celtics,• Terry Rozier,,called up from NBADL
2016-01-01,Hornets,,• Al Jefferson,placed on IL recovering from surgery on right knee to repair torn lateral meniscus
2016-01-01,Knicks,,• Cleanthony Early,placed on IL with knee injury (from gunshot wound)
2016-01-01,Lakers,,• Kobe Bryant,placed on IL with sore right shoulder
2016-01-01,Lakers,• Metta World Peace / Ron Artest,,activated from IL
2016-01-01,Magic,,• Roy Devyn Marble / Roy Marble (Devyn),assigned to NBADL
2016-01-01,Mavericks,,• Devin Harris,back spasms (DTD)
2016-01-01,Mavericks,,• Justin Anderson,placed on IL
2016-01-01,Mavericks,• Deron Williams,,activated from IL
2016-01-01,Pacers,,• Rakeem Christmas,assigned to NBADL
2016-01-01,Pacers,,• Shayne Whittington,assigned to NBADL
2016-01-01,Raptors,,• Anthony Bennett,placed on IL
2016-01-01,Raptors,,• Lucas Nogueira,assigned to NBADL
2016-01-01,Raptors,• Anthony Bennett,,called up from NBADL
2016-01-01,Wizards,,• DeJuan Blair,sore right knee (DTD)
2016-01-01,Wizards,• Drew Gooden,,activated from IL
2016-01-01,Hornets,• Spencer Hawes,,activated from IL
2016-01-01,Raptors,• Bruno Caboclo,,activated from IL
2016-01-01,Hornets,,• Spencer Hawes,sore lower back (DTD)
2016-01-01,Raptors,,• Bruno Caboclo,assigned to NBADL
2016-01-01,Raptors,,• Delon Wright,assigned to NBADL
2016-01-02,Cavaliers,,• Sasha Kaun,placed on IL
2016-01-02,Cavaliers,• Kyrie Irving,,activated from IL
2016-01-02,Celtics,,• Avery Bradley,bruised left hip (DTD)
2016-01-02,Celtics,,• R.J. Hunter,left shoulder subluxation (DTD)
2016-01-02,Celtics,,• Terry Rozier,assigned to NBADL
2016-01-02,Hornets,,• Nicolas Batum,sprained toe on right foot (DTD)
2016-01-02,Hornets,• Jeremy Lin,,returned to lineup
2016-01-02,Kings,• Willie Cauley-Stein,,activated from IL
2016-01-02,Lakers,,• Anthony Brown,assigned to NBADL
2016-01-02,Lakers,,• Ryan Kelly,assigned to NBADL
2016-01-02,Lakers,,• Tarik Black,assigned to NBADL
2016-01-02,Mavericks,,• Devin Harris,placed on IL with strained back
2016-01-02,Mavericks,,• Salah Mejri,assigned to NBADL
2016-01-02,Mavericks,• Justin Anderson,,activated from IL
2016-01-02,Nuggets,,• Kostas Papanikolaou,sprained left ankle (DTD)
2016-01-02,Nuggets,• Danilo Gallinari,,activated from IL
2016-01-02,Nuggets,• Jusuf Nurkic,,returned to lineup
2016-01-02,Pacers,,• Rakeem Christmas,placed on IL
2016-01-02,Pacers,,• Shayne Whittington,placed on IL
2016-01-02,Pacers,• Ian Mahinmi,,activated from IL
2016-01-02,Pacers,• Jordan Hill,,returned to lineup
2016-01-02,Pelicans,,• Tyreke Evans,right knee tendinitis (DTD)
2016-01-02,Rockets,,• Donatas Motiejunas,sore back (DTD)
2016-01-02,Rockets,,• Marcus Thornton (Terrell),personal reasons (DTD)
2016-01-02,Spurs,• Tim Duncan,,returned to lineup
2016-01-02,Spurs,• Tim Duncan,,activated from IL (P)
2016-01-02,Suns,,• Cory Jefferson,placed on IL
2016-01-02,Suns,• Jon Leuer,,returned to lineup
